official_step,time_s,total_lbm_substeps,lbm_substeps_per_fsi_step,x_index,x_norm,x_m,fluid_cell_count_static_mask,fluid_cell_count_dynamic_solver,mass_flux_lbm,mean_ux_lbm,mean_speed_lbm,max_speed_lbm,mass_flux_mps_proxy_sum,outlet_plane,inlet_plane,midplane
50,0.025,6000,120,15,0.3229166666666667,0.03229166666666667,80,80,-415301173248.0,22.719074249267578,61.195098876953125,2884.08740234375,-207650586624000.0,False,False,False
50,0.025,6000,120,16,0.34375,0.034375,80,80,429594836992.0,0.42424431443214417,22.748905181884766,289.6795349121094,214797418496000.0,False,False,False
50,0.025,6000,120,17,0.3645833333333333,0.036458333333333336,80,80,-471816208384.0,53.17585372924805,84.05387878417969,4563.20849609375,-235908104192000.0,False,False,False
50,0.025,6000,120,18,0.3854166666666667,0.03854166666666667,80,80,474515963904.0,6.48236083984375,38.232452392578125,690.1218872070312,237257981952000.0,False,False,False
50,0.025,6000,120,19,0.40625,0.040625,80,80,-479583928320.0,5.507480621337891,42.22607421875,1563.657958984375,-239791964160000.0,False,False,False
50,0.025,6000,120,20,0.4270833333333333,0.042708333333333334,80,80,464793010176.0,-8.83001708984375,47.18818283081055,873.375732421875,232396505088000.0,False,False,False
50,0.025,6000,120,21,0.4479166666666667,0.044791666666666674,80,80,-440137416704.0,1.7041656970977783,70.1668701171875,993.6189575195312,-220068708352000.0,False,False,False
50,0.025,6000,120,22,0.46875,0.046875,80,80,409685131264.0,-7.303656101226807,39.091697692871094,515.2052612304688,204842565632000.0,False,False,False
50,0.025,6000,120,23,0.4895833333333333,0.04895833333333333,80,80,-381297360896.0,3.799020290374756,28.07451820373535,300.6074523925781,-190648680448000.0,False,False,False
50,0.025,6000,120,24,0.5104166666666666,0.051041666666666666,60,64,296375812096.0,-19.13435173034668,39.314697265625,1079.222900390625,148187906048000.0,False,False,True
50,0.025,6000,120,25,0.53125,0.053125000000000006,80,71,-194398666752.0,32.61183547973633,49.749481201171875,1974.4263916015625,-97199333376000.0,False,False,False
50,0.025,6000,120,26,0.5520833333333334,0.05520833333333334,80,80,179930497024.0,-5.829330921173096,20.36452293395996,566.66943359375,89965248512000.0,False,False,False
50,0.025,6000,120,27,0.5729166666666666,0.057291666666666664,80,80,-177031233536.0,3.901162624359131,23.252588272094727,429.7907409667969,-88515616768000.0,False,False,False
50,0.025,6000,120,28,0.59375,0.059375000000000004,80,80,230593003520.0,-8.913738250732422,35.717445373535156,1076.9217529296875,115296501760000.0,False,False,False
50,0.025,6000,120,29,0.6145833333333334,0.06145833333333334,80,80,-234358177792.0,4.598278522491455,59.78267288208008,1859.42236328125,-117179088896000.0,False,False,False
50,0.025,6000,120,30,0.6354166666666666,0.06354166666666666,80,80,245077671936.0,-15.174537658691406,44.2838020324707,1481.2677001953125,122538835968000.0,False,False,False
50,0.025,6000,120,31,0.65625,0.065625,80,80,-235547885568.0,-12.802087783813477,78.78560638427734,4141.482421875,-117773942784000.0,False,False,False
50,0.025,6000,120,32,0.6770833333333334,0.06770833333333334,80,80,243933511680.0,-9.281140327453613,120.11997985839844,3959.405029296875,121966755840000.0,False,False,False
50,0.025,6000,120,33,0.6979166666666666,0.06979166666666667,80,80,-244849508352.0,-11.803348541259766,58.55902862548828,2103.725341796875,-122424754176000.0,False,False,False
50,0.025,6000,120,34,0.71875,0.07187500000000001,80,80,273305370624.0,-28.24440574645996,71.92008972167969,1809.5885009765625,136652685312000.0,False,False,False
50,0.025,6000,120,35,0.7395833333333334,0.07395833333333333,80,80,-277308637184.0,-1.9045448303222656,14.65570068359375,155.93153381347656,-138654318592000.0,False,False,False
50,0.025,6000,120,36,0.7604166666666666,0.07604166666666667,80,80,283929214976.0,0.06195030361413956,15.189727783203125,110.75819396972656,141964607488000.0,False,False,False
50,0.025,6000,120,37,0.78125,0.078125,80,80,-298569105408.0,13.463546752929688,34.83092498779297,853.193115234375,-149284552704000.0,False,False,False
50,0.025,6000,120,38,0.8020833333333334,0.08020833333333334,80,80,306656903168.0,-7.092240810394287,24.0615177154541,927.3795166015625,153328451584000.0,False,False,False
50,0.025,6000,120,39,0.8229166666666666,0.08229166666666667,80,80,-307929546752.0,-3.612053632736206,21.24428939819336,476.1951904296875,-153964773376000.0,False,False,False
50,0.025,6000,120,40,0.84375,0.084375,80,80,293232148480.0,93.29813385009766,174.07247924804688,12664.6142578125,146616074240000.0,False,False,False
50,0.025,6000,120,41,0.8645833333333334,0.08645833333333335,80,80,-259380117504.0,-0.9663734436035156,17.479990005493164,117.33802032470703,-129690058752000.0,False,False,False
50,0.025,6000,120,42,0.8854166666666666,0.08854166666666667,80,80,231253245952.0,-12.265939712524414,31.85260009765625,813.3392333984375,115626622976000.0,False,False,False
50,0.025,6000,120,43,0.90625,0.09062500000000001,80,80,-186831863808.0,-5.184715270996094,21.189777374267578,377.9698791503906,-93415931904000.0,False,False,False
50,0.025,6000,120,44,0.9270833333333334,0.09270833333333334,80,80,142594211840.0,-7.912991523742676,55.12932586669922,2621.126953125,71297105920000.0,False,False,False
50,0.025,6000,120,45,0.9479166666666666,0.09479166666666666,80,80,-105647947776.0,6.4504714012146,35.6414909362793,1005.7454223632812,-52823973888000.0,False,False,False
50,0.025,6000,120,46,0.96875,0.096875,80,80,57411502080.0,-0.2163892239332199,7.5530595779418945,60.76768493652344,28705751040000.0,False,False,False
50,0.025,6000,120,47,0.9895833333333334,0.09895833333333334,80,80,-18534699008.0,0.19066806137561798,4.951867580413818,39.61195755004883,-9267349504000.0,True,False,False
