step,time_s,rho_min,rho_max,rho_finite,velocity_finite,population_finite,lbm_max_v,mpm_min_J,mpm_max_speed,density_gate_pass_step,mpm_j_gate_pass_step,finite_gate_pass_step
22,0.011,0.9999929666519165,1.0487372875213623,True,True,True,0.026709694415330887,0.9999863505363464,0.0007401776383630931,True,True,True
23,0.0115,0.9999935626983643,1.0496439933776855,True,True,True,0.027000220492482185,0.9999855756759644,0.0007850890979170799,True,True,True
24,0.012,0.9999946355819702,1.0479257106781006,True,True,True,0.026344798505306244,0.9999849200248718,0.0008281231275759637,True,True,True
25,0.0125,0.9999957084655762,1.0491199493408203,True,True,True,0.026746448129415512,0.9999843239784241,0.0008662791224196553,True,True,True
26,0.013000000000000001,0.999995768070221,1.0470609664916992,True,True,True,0.026057658717036247,0.9999836087226868,0.0008980805869214237,True,True,True
27,0.0135,0.9999958872795105,1.048542857170105,True,True,True,0.026475900784134865,0.9999829530715942,0.0009247301495634019,True,True,True
28,0.014,0.9999960064888,1.0465903282165527,True,True,True,0.026221856474876404,0.9999823570251465,0.0009461772860959172,True,True,True
29,0.0145,0.9999961256980896,1.0479159355163574,True,True,True,0.026363780722022057,0.9999818801879883,0.0009610483539290726,True,True,True
30,0.015,0.9999953508377075,1.0464344024658203,True,True,True,0.02640334889292717,0.9999814629554749,0.0009793961653485894,True,True,True
31,0.0155,0.9999946355819702,1.0472416877746582,True,True,True,0.02658441849052906,0.9999809861183167,0.0009950021049007773,True,True,True
32,0.016,0.9999939203262329,1.0462117195129395,True,True,True,0.026655813679099083,0.9999805688858032,0.0010053437435999513,True,True,True
33,0.0165,0.9999936819076538,1.0465227365493774,True,True,True,0.026821322739124298,0.9999799132347107,0.0010122922249138355,True,True,True
34,0.017,0.9999938607215881,1.045924425125122,True,True,True,0.026866165921092033,0.9999793767929077,0.0010130214504897594,True,True,True
35,0.0175,0.9999942183494568,1.045796275138855,True,True,True,0.027001814916729927,0.9999788403511047,0.0010097812628373504,True,True,True
36,0.018000000000000002,0.9999943375587463,1.0461230278015137,True,True,True,0.027060717344284058,0.999978244304657,0.001004692050628364,True,True,True
37,0.0185,0.9999945163726807,1.0465580224990845,True,True,True,0.02716139890253544,0.9999778270721436,0.000994130619801581,True,True,True
38,0.019,0.9999948740005493,1.0468883514404297,True,True,True,0.027242302894592285,0.9999774098396301,0.0009811746422201395,True,True,True
39,0.0195,0.9999950528144836,1.0469903945922852,True,True,True,0.027290180325508118,0.9999769926071167,0.0009674931643530726,True,True,True
40,0.02,0.9999953508377075,1.0469224452972412,True,True,True,0.027419401332736015,0.9999766945838928,0.00095077243167907,True,True,True
41,0.0205,0.9999955296516418,1.0468617677688599,True,True,True,0.02744552679359913,0.9999763369560242,0.0009345998987555504,True,True,True
42,0.021,0.9999955296516418,1.0469967126846313,True,True,True,0.027570733800530434,0.9999759197235107,0.0009197627659887075,True,True,True
43,0.021500000000000002,0.9999957084655762,1.047391653060913,True,True,True,0.02759026363492012,0.9999755620956421,0.0009049787768162787,True,True,True
44,0.022,0.999995768070221,1.047959327697754,True,True,True,0.027704602107405663,0.9999752044677734,0.0008923556306399405,True,True,True
45,0.0225,0.9999959468841553,1.0485022068023682,True,True,True,0.027719706296920776,0.9999748468399048,0.0009068491053767502,True,True,True
46,0.023,0.9999961256980896,1.0488395690917969,True,True,True,0.027829166501760483,0.9999744892120361,0.0009212608565576375,True,True,True
47,0.0235,0.9999963045120239,1.053987979888916,True,True,True,0.02785220742225647,0.9999740719795227,0.0009323699632659554,True,True,True
48,0.024,0.9999963045120239,1.0610270500183105,True,True,True,0.027967913076281548,0.9999737739562988,0.0009373039938509464,True,True,True
49,0.0245,0.9999963641166687,1.0643551349639893,True,True,True,0.027998249977827072,0.9999732375144958,0.000940505531616509,True,True,True
50,0.025,0.9999964833259583,1.0633937120437622,True,True,True,0.028106188401579857,0.9999728798866272,0.0009423798182979226,True,True,True
