approved_legacy_source,current_classification,current_migration_required,current_root_step_specific_implementation,current_step_specific_proxy_remaining,is_root_shim,pass,path,public_symbols,source_classification,source_migration_required,step68_step_specific_shim,step69_support_shim,unknown_requires_review
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_transfer_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_transfer_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_transfer_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_transfer_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
True,approved_legacy_support,False,False,False,False,True,src/selected_parameter_64_feasibility.py,"[""SELECTED_SCALE"", ""SELECTED_CAP"", ""N_GRID"", ""N_LBM_STEPS"", ""MPM_SUBSTEPS_PER_LBM_STEP"", ""SCALE_TOL"", ""summarize_selected_parameter_driver_rows"", ""assert_selected_parameter_driver_summary"", ""summarize_selected_parameter_feasibility"", ""compare_static_experimental_64_rows"", ""compare_engineering_link_area_64_rows"", ""summarize_wall_velocity_64_quality"", ""summarize_cycle_proxy_64"", ""force_impulse_64_row"", ""summarize_force_impulse_64_rows"", ""write_selected_parameter_outputs"", ""write_csv_rows"", ""write_json"", ""read_json"", ""finite_values"", ""scale_from_config_path""]",approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/sim_config.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_kinematics_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_kinematics_quality.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_kinematics_region_mapping.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_kinematics_schedule.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_motion_mapping.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_motion_mapping_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_motion_projection_diagnostics.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_motion_quality.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_proxy_regions.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_region_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_region_driver_diagnostics.py,[],squid_proxy_remaining,True,False,True,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_region_projection.py,[],squid_proxy_remaining,True,False,True,False
False,root_compatibility_shim,False,False,False,True,True,src/squid_region_quality.py,[],squid_proxy_remaining,True,False,True,False
True,approved_legacy_support,False,False,False,False,True,src/state_guard_truthfulness.py,"[""STATE_GUARD_METHOD_METADATA"", ""FIXED_ZERO_STATE_FIELDS"", ""add_state_guard_truthfulness_metadata"", ""state_guard_truthfulness_rows""]",approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/tethered_cycle_diagnostics.py,"[""FREE_BODY_MARKERS"", ""BODY_TRAJECTORY_MARKERS"", ""summarize_no_free_body_state"", ""summarize_multicycle_tethered_guard"", ""guard_rows""]",approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/units.py,[],approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/voxel_io.py,[],approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/voxel_quality.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_application.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_application_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_application_envelope.py,[],wall_velocity_runtime_remaining,True,False,True,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_consistency.py,[],wall_velocity_runtime_remaining,True,False,True,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_field.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/wall_velocity_quality.py,[],wall_velocity_runtime_remaining,True,False,True,False
