sample_index,phase,region_id,displacement_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,diagnostic_only,apply_to_driver,apply_to_lbm,apply_to_mpm,apply_to_projection,update_dynamic_solid,driver_integration_enabled,finite_pass,bounds_pass,scope_note
8,0.1,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.970262390670554,-0.52368804664723,0.9206997084548105,-1.3965014577259538,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
9,0.1125,mantle_outer,radial_scale_proxy,648,0.0010317553585413857,0.006328792218954709,0.004787283971513058,0.3644520996741792,0.3652567543681692,0.39536226898889604,0.6355479003258209,0.791091156390874,0.604637731011104,0.9634702988338192,-0.5597667638484012,0.9025874635568513,-1.4927113702623913,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
9,0.1125,mantle_cavity_proxy,volume_scale_proxy,100,0.0008170589530664331,0.003568480015879618,0.002328361634294637,0.4244989260183933,0.5184319710974364,0.45469935561103597,0.5755010739816067,0.6996345486532926,0.5453006443889641,0.9634702988338192,-0.5597667638484012,0.9025874635568513,-1.4927113702623913,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
9,0.1125,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9634702988338192,-0.5597667638484012,0.9025874635568513,-1.4927113702623913,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
10,0.125,mantle_outer,radial_scale_proxy,648,0.0012351728946249276,0.007576556341434737,0.005731129333648249,0.3654530841591371,0.3664163819596488,0.3962962535594715,0.634546915840863,0.789950832566703,0.6037037464405285,0.956268221574344,-0.5892857142857082,0.8833819241982507,-1.5714285714285623,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
10,0.125,mantle_cavity_proxy,volume_scale_proxy,100,0.0009850078084931236,0.004301991511018049,0.0028069631722027677,0.4250382816791563,0.5190089522090943,0.4550229690074938,0.5749617183208438,0.6989170761791191,0.5449770309925063,0.956268221574344,-0.5892857142857082,0.8833819241982507,-1.5714285714285623,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
10,0.125,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.956268221574344,-0.5892857142857082,0.8833819241982507,-1.5714285714285623,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
11,0.1375,mantle_outer,radial_scale_proxy,648,0.001447854227418158,0.008881144636475536,0.006717958165785812,0.36649965427528847,0.36762881991582586,0.397272772531743,0.6335003457247115,0.7887585774867821,0.602727227468257,0.9487381559766763,-0.6122448979591795,0.863301749271137,-1.632653061224488,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
11,0.1375,mantle_cavity_proxy,volume_scale_proxy,100,0.0011632289390310047,0.005080366853880477,0.0033148374708781036,0.4256106260120722,0.5196212232826743,0.45536637560724336,0.5743893739879278,0.698155720853701,0.5446336243927566,0.9487381559766763,-0.6122448979591795,0.863301749271137,-1.632653061224488,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
11,0.1375,funnel_outlet_proxy,aperture_scale_proxy,8,0.02209708691207961,0.02209708691207961,0.02209708691207961,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.9487381559766763,-0.6122448979591795,0.863301749271137,-1.632653061224488,1.0,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
