error,experiment_import_pass,experiment_module,legacy_import_pass,legacy_module,pass,same_object,symbol
,True,experiments.steps.step49_20step_proxy.envelope,True,src.runtime_geometry_wall_velocity_20step_envelope,True,True,read_json
,True,experiments.steps.step49_20step_proxy.state_guard,True,src.runtime_geometry_wall_velocity_20step_state_guard,True,True,STATE_GUARD_FIELDS
,True,experiments.steps.step49_20step_proxy.state_guard,True,src.runtime_geometry_wall_velocity_20step_state_guard,True,True,compute_step49_state_mutation_guard
,True,experiments.steps.step49_20step_proxy.state_guard,True,src.runtime_geometry_wall_velocity_20step_state_guard,True,True,forbidden_output_counts
,True,experiments.steps.step49_20step_proxy.state_guard,True,src.runtime_geometry_wall_velocity_20step_state_guard,True,True,write_step49_state_mutation_guard
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_ENVELOPE_ID
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_PHASE_SEQUENCE
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_CLOSURE_PHASE
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_CYCLE_PERIOD_STEPS
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_N_GRID
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_N_LBM_STEPS
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_MPM_SUBSTEPS
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_COUPLING_MODE
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,EXPECTED_REACTION_TRANSFER_MODE
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,MUTATION_FLAG_FIELDS
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,RuntimeGeometryWallVelocityOneCycleEnvelopeConfig
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,validate_one_cycle_envelope_config
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,summarize_one_cycle_envelope_config_validation
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,mutation_flags
,True,experiments.steps.step50_one_cycle_proxy.config,True,src.runtime_geometry_wall_velocity_one_cycle_config,True,True,mutation_flag_enabled_count
